Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
ANKRD65,0,7,0,0,0,0,1,0,0,17,0,0,0,3,0,0,1,0,0,27,0,24,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0,1,4.25,0,0
RP11-156P1.3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,21,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
WIPI2,0,16,0,0,1,1,0,0,29,60,2,0,0,35,0,0,1,1,0,142,0,119,6.681498285,2.688949838,20.73905951,8.707359132,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.245212543,0.007698842,7,5229835,5273485,1750164,417,3.08E-06,0.47958,0.03400047,8,51.67568,90.37838,0.8386463,136.2426,21.11803,49.77224,2.48E-05,27,1.75,0,0
IKZF4,0,46,0,4,4,0,0,0,9,77,6,0,0,33,0,0,8,2,0,169,0,144,6.681498285,2.688949838,21.36087762,7.754887502,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,12,56414689,56432219,2693176,215,2.61E-06,0.47967,0.03766619,34,51.83784,95.32432,0.9204541,100.2984,12.48197,54.5688,8.42E-06,17,2.441176471,0,0
CCR9,0,37,0,2,0,0,0,0,2,70,2,0,0,34,1,0,0,1,0,147,0,126,1.373598164,2.496984175,17.76590699,9.022367813,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.857623715,0.022006349,3,45928019,45944667,222878.9,519,1.78E-06,0.41927,0.05356044,13,51.94595,96.86486,0.9560219,155.459,21.84918,47.99093,0.000152065,24.91374182,2.085714286,0,0
BOD1,0,15,0,0,0,1,0,0,0,20,2,0,0,7,1,0,0,1,0,45,0,41,9.724409767,0.342847463,17.96053257,8.539158811,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,5,173034148,173043666,255068.8,371,2.22E-06,0.45935,0.03098072,10,45.97297,81.72973,0.8881066,111.4787,17.03934,43.49349,0.00013362,9,3,0,0
CDCA3,19,14,0,3,0,0,0,0,0,31,5,0,0,11,0,0,3,0,0,80,0,70,7.497201472,2.599984112,21.42859429,7.864186145,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,1.393827512,0.03891489,12,6957972,6960456,2822601,232,2.66E-06,0.5247405,0.03213006,33,57.64865,98.35135,0.9376643,144.5803,23.70164,51.76443,6.95E-05,17,3,0,0
GPR135,0,14,0,0,0,1,0,0,0,62,5,0,0,27,0,0,1,1,0,107,0,95,6.681498285,2.688949838,17.36014665,9.245552706,-0.02237615,0.02595461,0.04202091,0.009172955,-0.12202378,0.03557797,0.214066315,0.051777663,14,59930241,59932059,168237.3,606,3.11E-06,0.40328,0.01171568,7,32.10811,55.67568,0.9735361,27.60656,0.04262295,63.3651,8.77E-07,3,2.428571429,0,0
LINC00636,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,5.21E-07,4,0,0,0
RP11-257K9.8,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,29,6.681498285,2.688949838,18.70293689,8.594903589,-0.020868286,0.026714642,0.0412233,0.009881055,-0.12016607,0.037612025,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,1,0,0
